Primer Autor,Año,Tipo de Producto,Afiliación del Primer Autor,Journal,Publisher,Base de Datos,Citaciones
Zakaria Z.Y.,2025-08-01,Article,Universiti Teknologi Malaysia,Journal of Advanced Research in Applied Sciences and Engineering Technology,Publisher desconocido,Scopus,0
Zaman S.,2024-10-15,Article,The University of British Columbia,International Journal of Disaster Risk Reduction,Publisher desconocido,Scopus,0
Zambrano Manzur B.N.,2024-12-01,Article,Universidad de Granada,Journal of Innovation and Entrepreneurship,Publisher desconocido,Scopus,0
Zanchi P.,2024-12-01,Article,Centre Hospitalier Universitaire Vaudois,npj Science of Learning,Publisher desconocido,Scopus,0
Zandvakili A.,2024-10-01,Article,Daneshgahe Shahid Bahonar-e-Kerman,Evolving Systems,Publisher desconocido,Scopus,0
Zanetti A.S.,2024-12-01,Article,Université Laurentienne,Brain Research,Publisher desconocido,Scopus,0
Zanocco R.P.,2025-01-01,Article,Centro Avanzado de Enfermedades Crónicas,Journal of Photochemistry and Photobiology A: Chemistry,Publisher desconocido,Scopus,0
Zavecz Z.,2024-10-01,Article,University of Cambridge,Cortex,Publisher desconocido,Scopus,0
Zdrazil B.,2024-12-01,Editorial,EMBL’s European Bioinformatics Institute,Journal of Cheminformatics,Publisher desconocido,Scopus,0
Zhai J.,2024-10-01,Article,Edward E. Whitacre Jr. College of Engineering,Journal of Membrane Science,Publisher desconocido,Scopus,2
Zhang A.,2025-01-01,Article,Central South University,Environmental Impact Assessment Review,Publisher desconocido,Scopus,0
Zhang G.,2024-12-01,Article,Columbia University,npj Digital Medicine,Publisher desconocido,Scopus,0
Zhang H.,2024-10-01,Article,Northwestern Polytechnical University,Advanced Engineering Informatics,Publisher desconocido,Scopus,0
Zhang J.,2024-11-01,Article,Wuhan University,Applied Geography,Publisher desconocido,Scopus,0
Zhang J.,2024-12-01,Article,Nankai University,Heritage Science,Publisher desconocido,Scopus,0
Zhang K.,2024-09-15,Review,Affiliated Hospital of Shandong Second Medical University,Heliyon,Publisher desconocido,Scopus,0
Zhang L.,2024-10-15,Article,Jiangxi University of Finance and Economics,Heliyon,Publisher desconocido,Scopus,0
Zhang L.,2024-11-01,Article,Huazhong University of Science and Technology,Engineering Applications of Artificial Intelligence,Publisher desconocido,Scopus,5
Zhang M.,2024-12-01,Article,Hefei University of Technology,Chemical and Biological Technologies in Agriculture,Publisher desconocido,Scopus,0
Zhang M.,2025-01-01,Article,Aalto University,Reliability Engineering and System Safety,Publisher desconocido,Scopus,1
Zhang P.,2024-09-10,Article,Southern University of Science and Technology,Chemistry of Materials,Publisher desconocido,Scopus,0
Zhang P.Y.,2024-12-01,Article,New York University,Scientific Reports,Publisher desconocido,Scopus,0
Zhang Q.,2024-12-01,Review,Central South University,Cellular and Molecular Neurobiology,Publisher desconocido,Scopus,0
Zhang S.,2024-12-01,Article,University of Florida,Computers and Education,Publisher desconocido,Scopus,0
Zhang T.,2024-12-01,Review,Chengdu University of Traditional Chinese Medicine,Chinese Medicine (United Kingdom),Publisher desconocido,Scopus,0
Zhang T.,2025-01-01,Article,University of Science and Technology Beijing,Computational Materials Science,Publisher desconocido,Scopus,0
Zhang W.,2024-11-01,Review,Southwestern University of Finance and Economics,Environmental Impact Assessment Review,Publisher desconocido,Scopus,0
Zhang X.,2024-09-27,Article,"College of Computer Science and Technology, Zhejiang University",Knowledge-Based Systems,Publisher desconocido,Scopus,0
Zhang X.,2024-11-01,Article,Tsinghua University,Journal of Experimental Child Psychology,Publisher desconocido,Scopus,0
Zhang X.,2024-12-01,Article,Peking Union Medical College School of Nursing,BMC Nursing,Publisher desconocido,Scopus,0
Zhang Y.,2024-10-01,Article,Tianjin University of Science &amp; Technology,Sustainable Energy Technologies and Assessments,Publisher desconocido,Scopus,0
Zhang Y.,2024-12-01,Article,Xi'an Jiaotong University,Nature Communications,Publisher desconocido,Scopus,0
Zhang Z.,2024-12-01,Article,Macau University of Science and Technology,Humanities and Social Sciences Communications,Publisher desconocido,Scopus,1
Zhao D.,2024-12-01,Article,Beijing Technology and Business University,International Journal of Computational Intelligence Systems,Publisher desconocido,Scopus,1
Zhao L.,2024-12-01,Article,Harbin Institute of Sports,International Journal of Computational Intelligence Systems,Publisher desconocido,Scopus,0
Zhao R.,2024-10-01,Article,Chuzhou University,Computers and Education,Publisher desconocido,Scopus,0
Zhao W.,2024-12-01,Article,Jimei University,Scientific Reports,Publisher desconocido,Scopus,0
Zhao X.,2024-10-01,Article,Shanghai Normal University,Research in Autism Spectrum Disorders,Publisher desconocido,Scopus,0
Zhao Y.,2024-09-14,Article,National University of Defense Technology China,ACM Transactions on Architecture and Code Optimization,Publisher desconocido,Scopus,0
Zhao Z.,2024-09-20,Article,Research Institute of Zhejiang University-Taizhou,Electrochimica Acta,Publisher desconocido,Scopus,0
Zhong J.,2025-01-01,Article,Nanjing University of Science and Technology,"European Journal of Mechanics, A/Solids",Publisher desconocido,Scopus,0
Zhong Y.,2024-10-15,Article,"Karlsruher Institut für Technologie, Campus Nord",Journal of Building Engineering,Publisher desconocido,Scopus,0
Zhou J.,2024-09-01,Article,Macao Polytechnic University,Applied Sciences (Switzerland),Publisher desconocido,Scopus,0
Zhou J.,2024-11-15,Review,University College London,Journal of Building Engineering,Publisher desconocido,Scopus,0
Zhou J.,2025-01-01,Book Chapter,Politecnico di Milano,Lecture Notes on Data Engineering and Communications Technologies,Publisher desconocido,Scopus,0
Zhou L.,2024-10-01,Article,Shandong University,Energy,Publisher desconocido,Scopus,0
Zhu T.T.,2024-12-01,Article,Hunan University,Evaluation and Program Planning,Publisher desconocido,Scopus,0
Zhu X.,2024-11-01,Article,Institute of Information Engineering,Neural Networks,Publisher desconocido,Scopus,0
Zhu Z.,2024-11-01,Article,Liaoning Normal University,Inorganic Chemistry Communications,Publisher desconocido,Scopus,0
Ziam S.,2024-12-01,Article,Université TÉLUQ,Health Research Policy and Systems,Publisher desconocido,Scopus,1
Zimek M.,2024-12-01,Article,Universität Graz,Cleaner Production Letters,Publisher desconocido,Scopus,1
Zirar A.,2024-09-10,Article,University of Huddersfield,Journal of Enterprise Information Management,Publisher desconocido,Scopus,2
Zuhroh D.,2024-12-01,Article,University of Merdeka Malang,Uncertain Supply Chain Management,Publisher desconocido,Scopus,2
da Silva S.B.G.,2024-12-01,Review,Universidade Tecnológica Federal do Paraná,Sustainable Futures,Publisher desconocido,Scopus,0
de Seta G.,2024-10-01,Article,Universitetet i Bergen,AI and Society,Publisher desconocido,Scopus,0
de la Lastra J.M.P.,2024-12-01,Review,CSIC - Instituto de Productos Naturales y Agrobiologia (IPNA),Journal of Medical Systems,Publisher desconocido,Scopus,0
de-Fitero-Dominguez D.,2024-10-01,Article,Universidad de Alcalá,Neural Computing and Applications,Publisher desconocido,Scopus,0
van Klaveren L.M.,2024-12-01,Article,Universiteit van Amsterdam,BMC Medical Education,Publisher desconocido,Scopus,0
Đurđević D.F.,2024-12-01,Article,University of Belgrade,Journal of Memory and Language,Publisher desconocido,Scopus,0
Şekerci Y.,2024-12-01,Article,Antalya Bilim University,Scientific Reports,Publisher desconocido,Scopus,3
